type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'gate': 'g9', 'delay': 38, 'scheduledTime': '2022-12-24t20:35:00.000', 'estimatedTime': '2022-12-24t20:35:00.000', 'actualTime': '2022-12-24t21:13:00.000', 'estimatedRunway': '2022-12-24t21:13:00.000', 'actualRunway': '2022-12-24t21:13:00.000'}","{'iataCode': 'muc', 'icaoCode': 'eddm', 'terminal': '2', 'gate': 'h28', 'delay': 3, 'scheduledTime': '2022-12-25t16:40:00.000', 'estimatedTime': '2022-12-25t16:42:00.000'}","{'name': 'air new zealand', 'iataCode': 'nz', 'icaoCode': 'anz'}","{'number': '4223', 'iataNumber': 'nz4223', 'icaoNumber': 'anz4223'}","{'airline': {'name': 'lufthansa', 'iataCode': 'lh', 'icaoCode': 'dlh'}, 'flight': {'number': '459', 'iataNumber': 'lh459', 'icaoNumber': 'dlh459'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'gate': 'g9', 'delay': 38, 'scheduledTime': '2022-12-24t20:35:00.000', 'estimatedTime': '2022-12-24t20:35:00.000', 'actualTime': '2022-12-24t21:13:00.000', 'estimatedRunway': '2022-12-24t21:13:00.000', 'actualRunway': '2022-12-24t21:13:00.000'}","{'iataCode': 'muc', 'icaoCode': 'eddm', 'terminal': '2', 'gate': 'h28', 'delay': 3, 'scheduledTime': '2022-12-25t16:40:00.000', 'estimatedTime': '2022-12-25t16:42:00.000'}","{'name': 'austrian', 'iataCode': 'os', 'icaoCode': 'aua'}","{'number': '7334', 'iataNumber': 'os7334', 'icaoNumber': 'aua7334'}","{'airline': {'name': 'lufthansa', 'iataCode': 'lh', 'icaoCode': 'dlh'}, 'flight': {'number': '459', 'iataNumber': 'lh459', 'icaoNumber': 'dlh459'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'gate': 'g9', 'delay': 38, 'scheduledTime': '2022-12-24t20:35:00.000', 'estimatedTime': '2022-12-24t20:35:00.000', 'actualTime': '2022-12-24t21:13:00.000', 'estimatedRunway': '2022-12-24t21:13:00.000', 'actualRunway': '2022-12-24t21:13:00.000'}","{'iataCode': 'muc', 'icaoCode': 'eddm', 'terminal': '2', 'gate': 'h28', 'delay': 3, 'scheduledTime': '2022-12-25t16:40:00.000', 'estimatedTime': '2022-12-25t16:42:00.000'}","{'name': 'lufthansa', 'iataCode': 'lh', 'icaoCode': 'dlh'}","{'number': '459', 'iataNumber': 'lh459', 'icaoNumber': 'dlh459'}",
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'd9', 'delay': 39, 'scheduledTime': '2022-12-24t20:40:00.000', 'estimatedTime': '2022-12-24t21:00:00.000', 'actualTime': '2022-12-24t21:19:00.000', 'estimatedRunway': '2022-12-24t21:19:00.000', 'actualRunway': '2022-12-24t21:19:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '6', 'baggage': 't6-6', 'gate': '64a', 'delay': 2, 'scheduledTime': '2022-12-24t22:12:00.000', 'estimatedTime': '2022-12-24t22:14:00.000'}","{'name': 'british airways', 'iataCode': 'ba', 'icaoCode': 'baw'}","{'number': '6448', 'iataNumber': 'ba6448', 'icaoNumber': 'baw6448'}","{'airline': {'name': 'alaska airlines', 'iataCode': 'as', 'icaoCode': 'asa'}, 'flight': {'number': '373', 'iataNumber': 'as373', 'icaoNumber': 'asa373'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'd9', 'delay': 39, 'scheduledTime': '2022-12-24t20:40:00.000', 'estimatedTime': '2022-12-24t21:00:00.000', 'actualTime': '2022-12-24t21:19:00.000', 'estimatedRunway': '2022-12-24t21:19:00.000', 'actualRunway': '2022-12-24t21:19:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '6', 'baggage': 't6-6', 'gate': '64a', 'delay': 2, 'scheduledTime': '2022-12-24t22:12:00.000', 'estimatedTime': '2022-12-24t22:14:00.000'}","{'name': 'qatar airways', 'iataCode': 'qr', 'icaoCode': 'qtr'}","{'number': '2178', 'iataNumber': 'qr2178', 'icaoNumber': 'qtr2178'}","{'airline': {'name': 'alaska airlines', 'iataCode': 'as', 'icaoCode': 'asa'}, 'flight': {'number': '373', 'iataNumber': 'as373', 'icaoNumber': 'asa373'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': '2', 'gate': 'd9', 'delay': 39, 'scheduledTime': '2022-12-24t20:40:00.000', 'estimatedTime': '2022-12-24t21:00:00.000', 'actualTime': '2022-12-24t21:19:00.000', 'estimatedRunway': '2022-12-24t21:19:00.000', 'actualRunway': '2022-12-24t21:19:00.000'}","{'iataCode': 'lax', 'icaoCode': 'klax', 'terminal': '6', 'baggage': 't6-6', 'gate': '64a', 'delay': 2, 'scheduledTime': '2022-12-24t22:12:00.000', 'estimatedTime': '2022-12-24t22:14:00.000'}","{'name': 'alaska airlines', 'iataCode': 'as', 'icaoCode': 'asa'}","{'number': '373', 'iataNumber': 'as373', 'icaoNumber': 'asa373'}",
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 172, 'scheduledTime': '2022-12-24t20:45:00.000', 'estimatedTime': '2022-12-24t23:37:00.000'}","{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '5', 'scheduledTime': '2022-12-25t15:15:00.000'}","{'name': 'finnair', 'iataCode': 'ay', 'icaoCode': 'fin'}","{'number': '5526', 'iataNumber': 'ay5526', 'icaoNumber': 'fin5526'}","{'airline': {'name': 'british airways', 'iataCode': 'ba', 'icaoCode': 'baw'}, 'flight': {'number': '286', 'iataNumber': 'ba286', 'icaoNumber': 'baw286'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 172, 'scheduledTime': '2022-12-24t20:45:00.000', 'estimatedTime': '2022-12-24t23:37:00.000'}","{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '5', 'scheduledTime': '2022-12-25t15:15:00.000'}","{'name': 'aer lingus', 'iataCode': 'ei', 'icaoCode': 'ein'}","{'number': '8986', 'iataNumber': 'ei8986', 'icaoNumber': 'ein8986'}","{'airline': {'name': 'british airways', 'iataCode': 'ba', 'icaoCode': 'baw'}, 'flight': {'number': '286', 'iataNumber': 'ba286', 'icaoNumber': 'baw286'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 172, 'scheduledTime': '2022-12-24t20:45:00.000', 'estimatedTime': '2022-12-24t23:37:00.000'}","{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '5', 'scheduledTime': '2022-12-25t15:15:00.000'}","{'name': 'iberia', 'iataCode': 'ib', 'icaoCode': 'ibe'}","{'number': '7444', 'iataNumber': 'ib7444', 'icaoNumber': 'ibe7444'}","{'airline': {'name': 'british airways', 'iataCode': 'ba', 'icaoCode': 'baw'}, 'flight': {'number': '286', 'iataNumber': 'ba286', 'icaoNumber': 'baw286'}}"
departure,active,"{'iataCode': 'sfo', 'icaoCode': 'ksfo', 'terminal': 'intl', 'delay': 172, 'scheduledTime': '2022-12-24t20:45:00.000', 'estimatedTime': '2022-12-24t23:37:00.000'}","{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '5', 'scheduledTime': '2022-12-25t15:15:00.000'}","{'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}","{'number': '6997', 'iataNumber': 'aa6997', 'icaoNumber': 'aal6997'}","{'airline': {'name': 'british airways', 'iataCode': 'ba', 'icaoCode': 'baw'}, 'flight': {'number': '286', 'iataNumber': 'ba286', 'icaoNumber': 'baw286'}}"
