,Airline,Arrival airport,Codesharing,Scheduled departure,delay,iataNumber,status
10940,alaska airlines,lax,True,2023-09-09t19:15:00.000,9.0,as3433,active
10946,united airlines,phx,True,2023-09-09t19:20:00.000,6.0,ua683,active
10950,united airlines,fra,True,2023-09-09t19:20:00.000,25.0,ua926,active
10956,alaska airlines,las,True,2023-09-09t19:25:00.000,15.0,as740,active
10961,british airways,lhr,True,2023-09-09t19:25:00.000,83.0,ba286,active
10969,alaska airlines,slc,True,2023-09-09t19:35:00.000,9.0,as3448,active
10976,united airlines,las,True,2023-09-09t19:35:00.000,9.0,ua1390,active
10981,united airlines,lax,True,2023-09-09t19:45:00.000,22.0,ua2096,active
10985,united airlines,geg,True,2023-09-09t19:45:00.000,2.0,ua5389,active
10987,swiss,zrh,True,2023-09-09t19:50:00.000,30.0,lx39,active
10994,united airlines,lhr,True,2023-09-09t19:50:00.000,20.0,ua930,active
10999,alaska airlines,sea,True,2023-09-09t19:55:00.000,23.0,as1327,active
11003,air france,cdg,True,2023-09-09t20:00:00.000,39.0,af85,active
11004,united airlines,tlv,True,2023-09-09t20:05:00.000,22.0,ua954,active
11011,iberia,bcn,True,2023-09-09t20:10:00.000,14.0,ib2622,active
11017,jetblue airways,bos,True,2023-09-09t20:24:00.000,133.0,b6734,active
11018,sas,cph,True,2023-09-09t20:25:00.000,141.0,sk936,active
11023,alaska airlines,sna,True,2023-09-09t20:30:00.000,10.0,as3478,active
11025,french bee,ory,True,2023-09-09t20:30:00.000,17.0,bf711,active
11027,frontier airlines,den,True,2023-09-09t20:34:00.000,4.0,f9662,active
11031,jetblue airways,fll,True,2023-09-09t20:35:00.000,292.0,b6278,active
11035,alaska airlines,sea,True,2023-09-09t20:40:00.000,35.0,as1319,active
11039,united airlines,psp,True,2023-09-09t20:50:00.000,15.0,ua4727,active
11041,delta air lines,sea,True,2023-09-09t20:55:00.000,10.0,dl3891,active
11048,alaska airlines,psp,True,2023-09-09t20:59:00.000,11.0,as3447,active
11049,air india,bom,True,2023-09-09t21:00:00.000,100.0,ai180,active
11054,united airlines,mry,True,2023-09-09t21:00:00.000,16.0,ua5454,active
11059,lufthansa,muc,True,2023-09-09t21:10:00.000,17.0,lh459,active
11062,air canada,yyz,True,2023-09-09t21:15:00.000,34.0,ac746,active
11063,united airlines,lax,True,2023-09-09t21:28:00.000,10.0,ua2551,active
11075,united airlines,ewr,True,2023-09-09t21:30:00.000,18.0,ua2097,active
11078,alaska airlines,sea,True,2023-09-09t21:40:00.000,17.0,as1109,active
11084,alaska airlines,san,True,2023-09-09t21:45:00.000,7.0,as3422,active
